,0,1
0,요즘,0.9206909256113763
1,취미,0.26720290345368186
2,생활,0.7277255915680668
3,시작,0.76212763198208
4,아이,0.5283777585545326
5,러브,0.8692347385413379
6,페인,0.8586927331183926
7,팅,0.853289686801885
8,보석,0.0
9,십자수,0.0
10,어리다,0.8341882927742957
11,바늘,0.394551111674904
12,과,0.5885771526564697
13,실로,0.31722961605146166
14,를,0.023431937137098784
15,학교,0.48297750322482474
16,에서,0.28804136812501285
17,시키다,0.9181726538604157
18,정말,0.8586927331183926
19,재미,0.9895716140287164
20,없다,0.6133643280875419
21,숙제,0.1139681856790148
22,만,0.5801782017762782
23,아니다,0.9365383468995411
24,때리다,0.2586008171816681
25,싶다,0.7753429326074236
26,정도,0.8892435612335319
27,재미없다,0.1139681856790148
28,바느질,0.2265270184299972
29,필요,0.682172128781516
30,그냥,0.9954532389085001
31,색,0.9997182139487562
32,맞다,0.9716467893092511
33,붙이다,0.37894012678213745
34,되다,0.05819390029548685
35,완성,0.10381316674048896
36,작도,0.1139681856790148
37,꽤,0.8341882927742957
38,예쁘다,0.6839428776129168
39,여서,0.7667130575285024
40,예전,0.8341882927742957
41,부터,0.8422227590696053
42,이번,1.0
43,해보다,0.6295437015858492
44,돼다,0.9181726538604157
45,왼쪽,0.6396846192893814
46,사이즈,0.9633481481175901
47,행복하다,0.5587517853469706
48,눈물,0.2265270184299972
49,오른쪽,0.6396846192893814
50,해바라기,0.9476409850734162
51,향연,0.1139681856790148
52,이다,0.40816984132175227
53,상자,0.6089412594195188
54,좌측,0.19215139521551028
55,그림,0.9741923779049857
56,표시,0.6396846192893814
57,되어다,0.48340943229512334
58,있다,0.0
59,이렇게,0.853289686801885
60,뒷,0.9811101129937013
61,면,0.6610585867330366
62,에도,0.9988954411781475
63,각각,0.440572377422373
64,붙다,0.9032873658115018
65,처음,0.8477994818469937
66,작다,0.9933001263511092
67,애초,0.15492608708148994
68,젤,0.6543112147443059
69,형태,0.7773161215193017
70,액자,0.6988343925611337
71,도안,0.5717116266125692
72,그려지다,0.6089412594195188
73,다,0.5195134010681802
74,방식,0.5029793682911676
75,인,0.9327252282646814
76,좋다,0.28804136812501285
77,나무,0.7667130575285024
78,판이,0.5927801081734089
79,라,0.9945501602963954
80,탄탄하다,0.31722961605146166
81,편하다,0.9988954411781475
82,먼저,0.9856723066049164
83,자체,0.7875832009477024
84,대해,0.41804968358703215
85,설명,0.9999340689356769
86,미국,0.06762595262499634
87,팝아트,0.1139681856790148
88,예술가,0.06762595262499634
89,로이,0.15492608708148994
90,리히텐슈타인,0.06762595262499634
91,팝,0.06762595262499634
92,아트,0.41804968358703215
93,회화,0.06762595262499634
94,작품,0.8743723673310817
95,선명하다,0.6684677041412295
96,쨍쨍,0.06762595262499634
97,색감,0.7773161215193017
98,특유,0.06762595262499634
99,느낌,0.9966733762753731
100,자다,0.6610585867330366
101,살리다,0.31722961605146166
102,갯수,0.440572377422373
103,다양하다,0.9572742933626134
104,않다,0.46497443062859894
105,선,0.41804968358703215
106,굵다,0.06762595262499634
107,단순하다,0.6245683782587531
108,점도,0.19215139521551028
109,초보자,0.8254707984488924
110,에게,0.9758658214325979
111,매력,0.7667130575285024
112,포인트,0.440572377422373
113,다색,0.1139681856790148
114,총,0.6396846192893814
115,가지,0.9945501602963954
116,검은색,0.2265270184299972
117,이나,0.9965365611888762
118,살구색,0.06762595262499634
119,같다,0.2983746418637456
120,경우,0.9004942278113564
121,에는,0.8692347385413379
122,면적,0.394551111674904
123,넓다,0.8254707984488924
124,두,0.9975438377594125
125,봉지,0.3442576821558845
126,들다,0.37894012678213745
127,십자,0.7773161215193017
128,수용,0.15492608708148994
129,도구,0.9789463041956987
130,여러,0.9945501602963954
131,종류,0.9856723066049164
132,들어가다,0.9993736782016877
133,벽,0.9997280712775203
134,달,0.5587517853469706
135,쓰다,0.8806972962226735
136,방법,0.9164839224076567
137,기본,0.6684677041412295
138,가장,0.8164592749579694
139,뒤,0.9066162126387732
140,달다,0.6543112147443059
141,제일,0.7975236176867837
142,길다,0.41804968358703215
143,원래,0.48297750322482474
144,용도,0.440572377422373
145,뭔,0.394551111674904
146,지는,0.394551111674904
147,모르다,0.9832432753014635
148,트,0.9888120489612562
149,레이,0.9402508993556041
150,위,0.9945501602963954
151,비즈,0.37894012678213745
152,정리,0.912507543630896
153,써다,0.7327862254284622
154,트레이,0.9716467893092511
155,쏟다,0.8071461905567477
156,붓다,0.3699888229893131
157,고체풀,0.6763872653170098
158,구멍,0.8164592749579694
159,뚫다,0.540825949421532
160,펜,0.5371767457845603
161,채우다,0.9988890864021303
162,넣다,0.9832432753014635
163,다음,0.9975438377594125
164,찍다,0.8794201763978603
165,으로,0.11508606647185636
166,끈적끈적하다,0.15492608708148994
167,접착제,0.9432488518946472
168,올리다,0.8875396677048659
169,딱,0.991278398930818
170,때문,0.9716467893092511
171,비닐,0.9603647032481445
172,부분,0.768774767228087
173,살짝,0.9997280712775203
174,고정,0.6089412594195188
175,후,0.9473708232739849
176,붙이,0.8892435612335319
177,상당하다,0.3699888229893131
178,중독,0.6954411975710928
179,성,0.8586465692040652
180,밥,0.41804968358703215
181,안,0.8477994818469937
182,먹다,0.6954411975710928
183,작업,0.9032873658115018
184,뿐,0.682172128781516
185,인데,0.9933001263511092
186,단순,0.440572377422373
187,노동,0.3442576821558845
188,걸,0.8843774748867735
189,보다,0.06967739591086078
190,뿌듯하다,0.9993803198651294
191,느껴지다,0.8164592749579694
192,명화,0.9386538886032838
193,그리기,0.7667130575285024
