,0,1
0,요즘,0.9996103550326418
1,보통,0.3085162258427802
2,에서,0.7587884475376584
3,하고,0.9494392220433123
4,지내다,0.34660791589543294
5,원래,0.4314771435400968
6,순이,0.41553417324689446
7,인데,0.9865029508514961
8,있다,0.20549779570774904
9,그래서,0.9632405079846338
10,아이,0.9992952084714531
11,주전,0.08566115513206862
12,부터,0.9916006443490482
13,취미,0.9420820659712053
14,보석,0.016424225357291794
15,십자수,0.0
16,시작,0.9791828335919217
17,사실,0.8425848558861632
18,이유,0.5690903947160535
19,참전,0.050282744099897206
20,디즈니,0.5810230647215371
21,만들다,0.9930440304034579
22,싶다,0.9395294330808361
23,달라,0.6151555736861652
24,졸라,0.08566115513206862
25,사주다,0.38216823888016055
26,재미,0.7915520796688084
27,하루,0.8799735189752592
28,한두,0.24557581444349927
29,시간,0.8527587298016238
30,생활,0.9926789432279547
31,처음,0.9990025440781267
32,에는,0.9975513472642794
33,이렇게,0.9863557168966736
34,컬러,0.8539212621414832
35,별로,0.8367118959803507
36,없다,0.8527587298016238
37,생각,0.9342756058389254
38,많이,0.9822228026414781
39,스트레스,0.38216823888016055
40,많다,0.9470372666928316
41,너무나,0.3991078889421135
42,힐링,0.6151555736861652
43,되다,0.4396976175207247
44,같이,0.9554298949473784
45,서서,0.050282744099897206
46,심심하다,0.6469701420368849
47,그렇다,0.993949316523776
48,않다,0.8082175768928734
49,주어,0.2226982396540071
50,좋다,0.7347734416653544
51,피글렛,0.08566115513206862
52,고르다,0.9230647082239246
53,니까,0.6766656472388195
54,너무,0.8784318609138446
55,이쁘다,0.8848075896708223
56,해도,0.6260074184020745
57,포스팅,0.7623222402951089
58,과정,0.34660791589543294
59,암튼,0.24557581444349927
60,작다,0.9998092596650932
61,사이즈,0.9999929796281899
62,색깔,0.6366098323440439
63,적다,0.6260074184020745
64,추천,0.9526384452764196
65,드리다,0.9436849461901852
66,이다,0.6351529024644309
67,쉬엄쉬엄,0.3085162258427802
68,걸리다,0.99859243442147
69,같다,0.583557592034431
70,그리고,0.9904446427447269
71,요건,0.41553417324689446
72,두번째,0.49091101133524095
73,정말,0.9764170253827936
74,화려하다,0.4620172789299358
75,보여주다,0.34660791589543294
76,엄청,0.824544832165073
77,다양하다,0.9029500452958641
78,이랑은,0.050282744099897206
79,완전,0.7132490867711121
80,차원,0.11727043111063558
81,다른,0.9783074462252127
82,도안,0.9836577737753551
83,커서,0.3646811961100039
84,오다,0.9962972706532762
85,집중,0.9865029508514961
86,그래도,0.9372217162060985
87,뿌듯하다,0.8848075896708223
88,풀리다,0.24557581444349927
89,라서,0.730344670105919
90,좋아하다,0.9981107023487816
91,인터넷,0.446963533529364
92,으로,0.510594505864828
93,주문,0.9267610167919962
94,근처,0.3279036375207641
95,대형,0.5314847339140445
96,문구점,0.24557581444349927
97,사다,0.9113283536492904
98,자기,0.5314847339140445
99,거의,0.6469701420368849
100,가격,0.7915520796688084
101,두다,0.9962294338647741
102,만원,0.24557581444349927
103,대로,0.5810230647215371
104,저렴하다,0.6260074184020745
105,박스,0.6151555736861652
106,성품,0.9071956093312991
107,소개,0.666991700068285
108,위해,0.7623222402951089
109,설명,0.6469701420368849
110,그리다,0.5926719569108099
111,꺼내다,0.6151555736861652
112,그림,0.9985519798416552
113,이라서,0.5443325092990764
114,실망하다,0.050282744099897206
115,서도,0.2674339395066548
116,캔버스,0.9267610167919962
117,되어다,0.8887750146505216
118,편하다,0.8750165287227546
119,작업,0.9850285948141558
120,제품,0.9153498023954401
121,원단,0.1986586102683627
122,으로만,0.14626682046938436
123,후기,0.7545944872271844
124,조금,0.9526384452764196
125,불편하다,0.38216823888016055
126,살때,0.050282744099897206
127,구입,0.8750165287227546
128,비즈,0.8249939146235193
129,도구,0.7984557273617552
130,숫자,0.7698784464870496
131,안내,0.11727043111063558
132,종이,0.5926719569108099
133,헷갈리다,0.2674339395066548
134,중간,0.6861229465667403
135,열심히,0.8306993565502171
136,붙이다,0.8331357884340639
137,다시,0.9656596391370261
138,떼다,0.8539212621414832
139,참사,0.050282744099897206
140,겪다,0.050282744099897206
141,꼼꼼하다,0.5314847339140445
142,보고,0.9764170253827936
143,자다,0.8640220836779876
144,달리,0.3279036375207641
145,엄청나다,0.3279036375207641
146,갯수,0.2226982396540071
147,색갈,0.050282744099897206
148,들다,0.6944110499562492
149,도망가다,0.08566115513206862
150,트레,0.3991078889421135
151,이랑,0.8117997805818965
152,전용,0.6040465147069096
153,고체풀,0.9990025440781267
154,보섯,0.08566115513206862
155,찍다,0.9899665490043167
156,살짝,0.8941141481107353
157,고정,0.446963533529364
158,방식,0.3279036375207641
159,이에요,0.8593891342049127
160,접착,0.7772666044762381
161,때문,0.9303517357210298
162,붙다,0.9999389490780696
163,트레이,0.8593891342049127
164,원하다,0.7545944872271844
165,적당,0.2883841920951628
166,덜다,0.5690903947160535
167,흔들다,0.7698784464870496
168,툭툭,0.050282744099897206
169,치다,0.38216823888016055
170,배열,0.17326837592542163
171,보다,0.3651219549785898
172,요령,0.3646811961100039
173,생기다,0.8941141481107353
174,나중,0.730344670105919
175,빨리,0.824544832165073
176,정렬,0.5810230647215371
177,시키다,0.8052040024271633
178,차다,0.8750165287227546
179,겨우,0.17326837592542163
180,조금씩,0.8848075896708223
181,이제,0.9467671107565495
182,놓다,0.9497512260304811
183,정신,0.2674339395066548
184,수양,0.050282744099897206
185,명상,0.11727043111063558
186,효과,0.3085162258427802
187,주다,0.9834726899746938
188,예전,0.6260074184020745
189,엄마,0.8052040024271633
190,펀치,0.08566115513206862
