,0,1
0,요즘,0.9206909256113763
1,취미,0.26720290345368186
2,생활,0.7277255915680668
3,시작,0.76212763198208
4,아이,0.5283777585545326
5,러브,0.8692347385413379
6,페인,0.8586927331183926
7,보석,0.0
8,십자수,0.0
9,어리다,0.8341882927742957
10,바늘,0.394551111674904
11,실로,0.31722961605146166
12,학교,0.48297750322482474
13,에서,0.28804136812501285
14,시키다,0.9181726538604157
15,정말,0.8586927331183926
16,재미,0.9895716140287164
17,없다,0.6133643280875419
18,숙제,0.1139681856790148
19,아니다,0.9365383468995411
20,때리다,0.2586008171816681
21,싶다,0.7753429326074236
22,정도,0.8892435612335319
23,재미없다,0.1139681856790148
24,바느질,0.2265270184299972
25,필요,0.682172128781516
26,그냥,0.9954532389085001
27,맞다,0.9716467893092511
28,붙이다,0.37894012678213745
29,되다,0.05819390029548685
30,완성,0.10381316674048896
31,작도,0.1139681856790148
32,예쁘다,0.6839428776129168
33,여서,0.7667130575285024
34,예전,0.8341882927742957
35,부터,0.8422227590696053
36,이번,1.0
37,해보다,0.6295437015858492
38,돼다,0.9181726538604157
39,왼쪽,0.6396846192893814
40,사이즈,0.9633481481175901
41,행복하다,0.5587517853469706
42,눈물,0.2265270184299972
43,오른쪽,0.6396846192893814
44,해바라기,0.9476409850734162
45,향연,0.1139681856790148
46,이다,0.40816984132175227
47,상자,0.6089412594195188
48,좌측,0.19215139521551028
49,그림,0.9741923779049857
50,표시,0.6396846192893814
51,되어다,0.48340943229512334
52,있다,0.0
53,이렇게,0.853289686801885
54,에도,0.9988954411781475
55,각각,0.440572377422373
56,붙다,0.9032873658115018
57,처음,0.8477994818469937
58,작다,0.9933001263511092
59,애초,0.15492608708148994
60,형태,0.7773161215193017
61,액자,0.6988343925611337
62,도안,0.5717116266125692
63,그려지다,0.6089412594195188
64,방식,0.5029793682911676
65,좋다,0.28804136812501285
66,나무,0.7667130575285024
67,판이,0.5927801081734089
68,탄탄하다,0.31722961605146166
69,편하다,0.9988954411781475
70,먼저,0.9856723066049164
71,자체,0.7875832009477024
72,대해,0.41804968358703215
73,설명,0.9999340689356769
74,미국,0.06762595262499634
75,팝아트,0.1139681856790148
76,예술가,0.06762595262499634
77,로이,0.15492608708148994
78,리히텐슈타인,0.06762595262499634
79,아트,0.41804968358703215
80,회화,0.06762595262499634
81,작품,0.8743723673310817
82,선명하다,0.6684677041412295
83,쨍쨍,0.06762595262499634
84,색감,0.7773161215193017
85,특유,0.06762595262499634
86,느낌,0.9966733762753731
87,자다,0.6610585867330366
88,살리다,0.31722961605146166
89,갯수,0.440572377422373
90,다양하다,0.9572742933626134
91,않다,0.46497443062859894
92,굵다,0.06762595262499634
93,단순하다,0.6245683782587531
94,점도,0.19215139521551028
95,초보자,0.8254707984488924
96,에게,0.9758658214325979
97,매력,0.7667130575285024
98,포인트,0.440572377422373
99,다색,0.1139681856790148
100,가지,0.9945501602963954
101,검은색,0.2265270184299972
102,이나,0.9965365611888762
103,살구색,0.06762595262499634
104,같다,0.2983746418637456
105,경우,0.9004942278113564
106,에는,0.8692347385413379
107,면적,0.394551111674904
108,넓다,0.8254707984488924
109,봉지,0.3442576821558845
110,들다,0.37894012678213745
111,십자,0.7773161215193017
112,수용,0.15492608708148994
113,도구,0.9789463041956987
114,여러,0.9945501602963954
115,종류,0.9856723066049164
116,들어가다,0.9993736782016877
117,쓰다,0.8806972962226735
118,방법,0.9164839224076567
119,기본,0.6684677041412295
120,가장,0.8164592749579694
121,달다,0.6543112147443059
122,제일,0.7975236176867837
123,길다,0.41804968358703215
124,원래,0.48297750322482474
125,용도,0.440572377422373
126,지는,0.394551111674904
127,모르다,0.9832432753014635
128,레이,0.9402508993556041
129,비즈,0.37894012678213745
130,정리,0.912507543630896
131,써다,0.7327862254284622
132,트레이,0.9716467893092511
133,쏟다,0.8071461905567477
134,붓다,0.3699888229893131
135,고체풀,0.6763872653170098
136,구멍,0.8164592749579694
137,뚫다,0.540825949421532
138,채우다,0.9988890864021303
139,넣다,0.9832432753014635
140,다음,0.9975438377594125
141,찍다,0.8794201763978603
142,으로,0.11508606647185636
143,끈적끈적하다,0.15492608708148994
144,접착제,0.9432488518946472
145,올리다,0.8875396677048659
146,때문,0.9716467893092511
147,비닐,0.9603647032481445
148,부분,0.768774767228087
149,살짝,0.9997280712775203
150,고정,0.6089412594195188
151,붙이,0.8892435612335319
152,상당하다,0.3699888229893131
153,중독,0.6954411975710928
154,먹다,0.6954411975710928
155,작업,0.9032873658115018
156,인데,0.9933001263511092
157,단순,0.440572377422373
158,노동,0.3442576821558845
159,보다,0.06967739591086078
160,뿌듯하다,0.9993803198651294
161,느껴지다,0.8164592749579694
162,명화,0.9386538886032838
163,그리기,0.7667130575285024
164,처럼,0.9993803198651294
165,물감,0.3699888229893131
166,끄다,0.7207342751315938
167,지다,0.8426189227756938
168,마음,0.9942171199892988
169,이지,0.5222478737256987
170,위치,0.5927801081734089
171,옮기다,0.6543112147443059
172,그리고,0.9507764154288855
173,다른,0.9956750254885613
174,까지,0.8843774748867735
175,비기다,0.06762595262499634
176,동영상,0.41804968358703215
177,장면,0.41804968358703215
178,이고,0.7667130575285024
179,기다,0.682172128781516
180,사용,0.853289686801885
181,많다,0.7554020532969761
182,그걸,0.2887452329537216
183,이렇다,0.991278398930818
184,멍청하다,0.06762595262499634
185,만큼,0.8586465692040652
186,일일이,0.3442576821558845
187,움짤,0.2887452329537216
188,까만색,0.06762595262499634
189,띄다,0.394551111674904
190,나다,0.9832432753014635
191,빨간색,0.31722961605146166
